iter	Accuracy	MultiClass
0	0.87290625	1.28054320111	0.87290625	1.1920722	022	0.87290625	1.113	0.87233	0.87290625	4	0.8729	0.44	0.872905	0.8729	0.9425055	0.87290625	0.943229583666	0.87290625	0.898253858	07	0.87290625	0.85749	0.8728	0.87290625	0.10	0.8729	09	0.8729062511	0.8729	0.7310	0.872912	0.873025	0.7011	0.872913	0.87299375	0.6812	0.872914	0.8729625	0.660701708
15	0.87333125	0.6404580871
16	0.87364375	0.6218084526
17	0.87373125	0.6046820639
18	0.8736625	0.5891056066
19	0.87375625	0.5744486999
20	0.87400625	0.5602107725
21	0.8742625	0.5476430174
22	0.8744375	0.5353388811
23	0.87445	0.524721489
24	0.87450625	0.5139750475
25	0.87461875	0.504407451
26	0.87475625	0.4955956398
27	0.8749	0.48671924
28	0.8751375	0.4784043138
29	0.8751875	0.4717550863
30	0.87535625	0.4646287478
31	0.87558125	0.4575536132
32	0.87568125	0.4508663306
33	0.87575	0.4451009858
34	0.87596875	0.4394868959
35	0.87626875	0.4345554884
36	0.876375	0.4295695783
37	0.876625	0.4245587647
38	0.8768	0.4198262482
39	0.87696875	0.4153755018
40	0.87714375	0.411267455
41	0.87721875	0.4074910958
42	0.87739375	0.403786819
43	0.8774	0.4000957588
44	0.87770625	0.3966306425
45	0.87775625	0.3935986954
46	0.8778125	0.3906673036
47	0.8778875	0.3875933821
48	0.8780625	0.385020101
49	0.87828125	0.38206386
50	0.87843125	0.3794278722
51	0.8785125	0.3772048188
52	0.87866875	0.3748914079
53	0.87900625	0.3728665537
54	0.8793	0.3711893042
55	0.87945	0.3693748345
56	0.87958125	0.3674941856
57	0.8799375	0.3656256936
58	0.88015	0.3639545575
59	0.87999375	0.3623800525
60	0.8802375	0.3606357946
61	0.8804875	0.3592018385
62	0.880675	0.3576695645
63	0.880725	0.3564837696
64	0.88079375	0.3552311712
65	0.88095625	0.353816609
66	0.8809875	0.3525994565	67	0.88098125	0.3516496926
68	0.88110625	0.3505520002
69	0.88124375	0.3495026466
70	0.8812875	0.3485262681
71	0.881375	0.3475369627
72	0.88146875	0.3466139312
73	0.88175	0.3458411035
74	0.8820375	0.3448176009
75	0.8821625	0.3437571823
76	0.88241875	0.342900298
77	0.8824125	0.3421857058
78	0.88245625	0.3413025626
79	0.88278125	0.3406780831
80	0.882875	0.3398129213
81	0.88300625	0.3390795219
82	0.8832125	0.3385228667
83	0.88336875	0.3379342587
84	0.8835125	0.3373753276
85	0.883575	0.3368387063
86	0.88369375	0.3361866384
87	0.88393125	0.3355984712
88	0.88403125	0.3351787169
89	0.88394375	0.3347800008
90	0.8840625	0.3342817809
91	0.88423125	0.3335636001
92	0.88425625	0.3332021805
93	0.88425	0.3326987652
94	0.8843125	0.3323226965
95	0.88431875	0.3319813141
96	0.88444375	0.3314829233
97	0.8846	0.3310452504
98	0.884875	0.3304610726
99	0.88481875	0.3300300222
100	0.88494375	0.3296997225
101	0.88500625	0.3292910708
102	0.88524375	0.3288177776
103	0.88528125	0.3285356947
104	0.8853125	0.3281721042
105	0.88544375	0.3278988843
106	0.88558125	0.3276051936
107	0.8855625	0.3272750663
108	0.88561875	0.3269083924
109	0.88579375	0.3266439705
110	0.88579375	0.3265436161
111	0.88578125	0.3264256376
112	0.8859125	0.3261503533
113	0.88590625	0.3259323234
114	0.8859375	0.3256489477
115	0.88595	0.3254608893
116	0.88600625	0.3252838577
117	0.88609375	0.3251084946
118	0.8860875	0.3248575841
119	0.88615625	0.3246953344
120	0.88621875	0.324282631
121	0.88625	0.3242382135
122	0.886275	0.3242089651
123	0.8863125	0.3239008102
124	0.88635625	0.323819539
125	0.88635625	0.3235701262
126	0.88645625	0.3232837597
127	0.88653125	0.3229473534
128	0.8866	0.3228058388
129	0.88660625	0.3226230382
130	0.8865625	0.3223514031
131	0.886625	0.3221512632
132	0.8866625	0.3220137287
133	0.8866375	0.3219098682
134	0.88665625	0.3218779746
135	0.886675	0.3217225051
136	0.8866875	0.3216953968
137	0.886675	0.3214618008
138	0.88668125	0.3213670084
139	0.88681875	0.3210755596
140	0.88685	0.3210063251
141	0.887075	0.3207832883
142	0.8871125	0.3207620007
143	0.8871125	0.3206503419
144	0.88714375	0.3205338306
145	0.887125	0.3203311416
146	0.88721875	0.3202499135
147	0.88724375	0.3202168585
148	0.8872375	0.3201885515
149	0.8872375	0.3201320236
150	0.88725625	0.3199645655
151	0.88725625	0.3198734946
152	0.8873125	0.3196992021
153	0.8873	0.3196419273
154	0.88728125	0.3195511301
155	0.88730625	0.3194383981
156	0.88730625	0.3193894308
157	0.8873375	0.3191940213
158	0.8873125	0.3191655733
159	0.8873875	0.3190373426
160	0.88745625	0.3189842689
161	0.88748125	0.318852825
162	0.8874875	0.3188170882
163	0.88751875	0.3186774469
164	0.8876125	0.31850531
165	0.88760625	0.3184909556
166	0.887675	0.3183249942
167	0.8876625	0.3182538095
168	0.8876375	0.3181983113
169	0.8876625	0.3181790659
170	0.8876875	0.3180453486
171	0.8877125	0.3180068305
172	0.88774375	0.317891112
173	0.8878125	0.3178347583
174	0.88789375	0.3177786536
175	0.88788125	0.3177574758
176	0.88781875	0.3176875558
177	0.8878375	0.3175355216
178	0.88785625	0.3174822244
179	0.88790625	0.3174229867
180	0.8879125	0.3173724796
181	0.88789375	0.3173503151
182	0.88790625	0.3173369928
183	0.88798125	0.3172406273
184	0.88799375	0.3170638534
185	0.88800625	0.3170076305
186	0.88805	0.3169174088
187	0.88805625	0.3168005248
