iter	Passed	Remaining
0	5282	1579551
1	10975	1635409
2	16959	1679034
3	22854	1691258
4	28884	1704173
5	34928	1711504
6	40680	1702749
7	46705	1704740
8	51827	1675753
9	57206	1658990
10	63033	1656049
11	69566	1669587
12	74078	1635432
13	79274	1619462
14	85299	1620683
15	90715	1610195
16	96458	1605747
17	102675	1608578
18	108209	1600360
19	114136	1597905
20	120599	1602254
21	126261	1595486
22	131830	1587700
23	137318	1579158
24	142697	1569669
25	148153	1561307
26	153713	1554214
27	159273	1547223
28	163879	1531424
29	169883	1528952
30	175167	1520005
31	180370	1510606
32	185775	1503094
33	191713	1499876
34	197443	1494929
35	202371	1484058
36	208223	1480077
37	213933	1475015
38	219719	1470428
39	225207	1463849
40	231179	1460377
41	236532	1452983
42	241819	1445295
43	247555	1440325
44	253056	1433988
45	258844	1429272
46	265399	1428640
47	271390	1424802
48	276402	1415855
49	281689	1408448
50	287206	1402245
51	292906	1396937
52	298112	1389315
53	304497	1387153
54	309652	1379361
55	315684	1375481
56	321250	1369541
57	327119	1364876
58	332281	1357286
59	337920	1351683
60	343897	1347400
61	349889	1343123
62	355911	1338906
63	361954	1334706
64	368340	1331692
65	374338	1327198
66	380119	1321906
67	386165	1317506
68	391465	1310559
69	397488	1306032
70	402883	1299441
71	408703	1294229
72	414171	1287902
73	419369	1280775
74	424916	1274748
75	430168	1267866
76	435765	1262022
77	441050	1255297
78	446241	1248346
79	451555	1241778
80	457090	1235836
81	462785	1230332
82	468132	1223911
83	474102	1219120
84	479506	1212868
85	485442	1207961
86	490819	1201660
87	496492	1196096
88	502213	1190641
89	507200	1183467
90	512566	1177213
91	518352	1171928
92	524054	1166443
93	529574	1160556
94	535443	1155430
95	540937	1149491
96	546639	1143997
97	552630	1139095
98	557975	1132860
99	563798	1127597
100	569477	1122040
101	575267	1116694
102	580767	1110788
103	586052	1104483
104	591903	1099249
105	597405	1093364
106	602492	1086738
107	608222	1081284
108	613366	1074797
109	618991	1069167
110	625165	1064471
111	630844	1058918
112	636510	1053339
113	642200	1047800
114	648352	1043002
115	653573	1036703
116	659441	1031433
117	664796	1025364
118	670392	1019672
119	676460	1014691
120	682090	1009043
121	688207	1004106
122	693710	998266
123	699164	992362
124	705338	987474
125	711106	982004
126	716624	976189
127	722270	970550
128	728528	965723
129	734475	960467
130	740032	954698
131	745687	949057
132	751085	943092
133	756789	937515
134	762652	932131
135	768507	926730
136	773714	920550
137	779145	914648
138	785460	909777
139	791314	904359
140	797343	899132
141	802872	893337
142	809019	888223
143	814827	882729
144	820386	876964
145	826072	871336
146	831956	865914
147	838239	860894
148	843732	855057
149	849280	849280
150	855011	843686
151	861343	838676
152	867693	833666
153	874067	828661
154	879848	823084
155	886023	817868
156	891867	812337
157	898016	807078
158	903719	801411
159	909966	796220
160	916366	791148
161	922707	786009
162	929055	780862
163	935410	775706
164	941731	770507
165	947326	764709
166	953097	759054
167	958603	753188
168	964733	747811
169	970883	742439
170	977286	737251
171	983606	731986
172	990012	726772
173	996392	721525
174	1002804	716289
175	1008529	710555
176	1014148	704747
177	1020321	699321
178	1025472	693196
179	1031728	687818
180	1037627	682196
181	1043412	676498
182	1049589	671049
183	1055892	665671
184	1062053	660195
185	1068146	654670
186	1073819	648885
187	1079354	643019
188	1085046	637249
189	1091409	631868
190	1097425	626279
191	1103774	620872
192	1109377	615043
193	1114816	609126
194	1121143	603692
195	1127516	598274
196	1133619	592704
197	1139948	587246
198	1146267	581774
199	1152366	576183
200	1158683	570694
201	1164888	565143
202	1170785	559439
203	1176373	553587
204	1182763	548110
205	1189128	542611
206	1195240	536992
207	1201428	531400
208	1207232	525637
209	1213613	520120
210	1219762	514497
211	1226132	508960
212	1232457	503398
213	1238819	497843
214	1245191	492285
215	1251758	486794
216	1258141	481224
217	1263765	475361
218	1269874	469679
219	1276211	464077
220	1282554	458469
221	1288914	452861
222	1295206	447223
223	1301562	441601
224	1307869	435956
225	1314250	430329
226	1320418	424628
227	1326656	418944
228	1332899	413256
229	1338129	407256
230	1343734	401375
231	1349952	395675
232	1356240	389991
233	1361820	384103
234	1367734	378309
235	1373967	372601
236	1380342	366926
237	1386718	361246
238	1393145	355572
239	1399333	349833
240	1405663	344125
241	1412062	338428
242	1418412	332713
243	1424814	327006
244	1431224	321295
245	1437644	315580
246	1444030	309852
247	1450453	304127
248	1456036	298224
249	1462444	292488
250	1468075	286596
251	1474080	280777
252	1480154	274969
253	1486567	269220
254	1492987	263468
255	1499402	257709
256	1505024	251813
257	1511314	246027
258	1517728	240258
259	1524095	234476
260	1530499	228695
261	1535833	222754
262	1541995	216934
263	1548374	211142
264	1554210	205273
265	1560561	199470
266	1566967	193670
267	1573207	187845
268	1579570	182032
269	1585965	176218
270	1592219	170385
271	1598639	164565
272	1604430	158679
273	1610828	152852
274	1617232	147021
275	1623183	141146
276	1629543	135305
277	1635955	129464
278	1642353	123617
279	1648761	117768
280	1654316	111857
281	1660533	105991
282	1666432	100103
283	1672800	94242
284	1679101	88373
285	1685414	82502
286	1691741	76629
287	1697600	70733
288	1703967	64856
289	1710369	58978
290	1716753	53095
291	1722482	47191
292	1727921	41281
293	1734047	35388
294	1739820	29488
295	1745133	23582
296	1751464	17691
297	1757850	11797
298	1764212	5900
299	1769624	0
